Q1,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14
1,6.431,83.253,111.562,16,5,6,5,7,6,5,5,5,5,7,5,6,7,6,7,1,4.506,29.5,31.287,16,1,2,7,4,3,3,5,4,5,3,4,1,7,5,2,3,38.963,49.07,51.742,2,3,3,3,1,3,1,3,7,1,4,6,4,5,1,7,2
1,0,0,13.763,0,7,5,2,3,7,2,7,4,5,3,6,5,7,4,3,2,6.46,24.748,33.896,17,5,5,6,6,6,6,5,5,5,6,6,5,5,6,5,1,0.486,9.573,10.266,19,6,4,3,4,3,4,3,7,5,3,4,4,2,2,3,3
1,6.464,77.9,79.049,16,7,7,7,7,5,7,6,7,6,5,7,7,7,6,7,1,44.529,64.896,66.777,16,3,7,4,7,4,2,2,3,2,7,7,5,5,2,4,3,23.119,28.445,29.857,2,6,3,2,3,4,5,2,6,1,1,5,6,5,6,2,2
1,19.542,92.073,93.28,18,7,7,6,6,7,7,5,7,6,6,5,5,7,6,7,1,3.452,38.005,39.677,17,4,5,2,4,7,4,2,3,1,6,5,2,3,3,1,3,27.728,27.728,29.434,1,5,2,1,1,5,2,5,7,7,1,3,5,1,7,6,2
1,23.914,23.914,26.456,1,6,6,1,6,1,2,7,3,7,3,4,2,6,6,3,2,1.748,43.002,44.967,17,3,6,3,1,5,2,7,5,1,6,4,5,2,3,4,3,5.119,76.05,77.478,18,7,7,6,5,4,7,7,4,6,6,5,7,7,7,7,1
1,12.545,46.575,47.222,16,6,5,6,7,4,6,5,5,5,7,5,6,7,6,7,1,21.89,48.518,50.295,17,4,2,5,3,4,3,3,5,3,7,6,4,2,1,4,3,4.311,61.43,64.362,19,6,4,7,7,4,5,4,5,5,7,5,6,7,6,7,1
1,5.782,45.944,47.133,15,6,7,4,7,4,5,5,5,6,7,6,7,7,5,7,1,3.227,16.879,18.516,16,4,5,5,3,5,1,3,7,4,3,3,5,5,3,2,3,39.104,39.104,43.337,1,6,1,6,2,3,5,6,7,3,4,2,4,5,7,3,2
,17.282,112.542,113.456,23,5,4,5,4,6,7,7,6,6,6,3,7,7,6,7,1,3.84,46.459,47.767,33,5,6,6,7,3,5,5,4,2,1,2,4,2,4,3,3,99.864,114.543,180.19,7,4,2,7,5,7,1,3,4,7,1,1,6,6,2,2,2
1,5.822,82.881,84.115,18,4,6,4,5,6,7,4,6,4,6,2,4,2,4,7,1,4.53,34.429,36.202,18,3,5,1,2,7,5,3,5,4,6,1,2,1,4,4,3,114.001,119.709,120.535,2,7,6,1,7,7,6,5,7,7,4,7,2,1,7,2,2
1,7.435,43.788,46.723,15,6,7,5,5,6,7,6,6,7,7,5,7,6,6,7,1,9.085,28.673,36.191,17,4,5,4,4,3,1,2,4,3,7,7,3,1,5,2,3,0,0,15.477,0,1,6,2,6,6,7,3,5,3,6,5,7,2,7,5,2
